year,name,price,mileage,location,link
1993,Honda civic LX Sedan 4D,$2000,123000,"Fort Worth, TX",https://www.facebook.com/marketplace/item/610738037576481/?ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3A186f9c11-f6a7-4818-b881-3137450004e6&__tn__=3D!%3AD
1997,Honda civic EX Coupe 2D,$1700,250000,"Arlington, TX",https://www.facebook.com/marketplace/item/2166785676855081/?ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3A186f9c11-f6a7-4818-b881-3137450004e6&__tn__=3D!%3AD
1998,Honda civic DX Sedan 4D,$2900,180000,"Frisco, TX",https://www.facebook.com/marketplace/item/1183272485714468/?ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3A186f9c11-f6a7-4818-b881-3137450004e6&__tn__=3D!%3AD
1999,Honda civic EX Sedan 4D,$2500,263000,"Dallas, TX",https://www.facebook.com/marketplace/item/907950373876651/?ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3A186f9c11-f6a7-4818-b881-3137450004e6&__tn__=3D!%3AD
2000,Honda civic EX Coupe 2D,$5500,300,"Arlington, TX",https://www.facebook.com/marketplace/item/222784743444942/?ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3A186f9c11-f6a7-4818-b881-3137450004e6&__tn__=3D!%3AD
2000,Honda civic DX Hatchback 2D,$4000,170000,"Irving, TX",https://www.facebook.com/marketplace/item/562323892336049/?ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3A186f9c11-f6a7-4818-b881-3137450004e6&__tn__=3D!%3AD
2001,Honda civic EX Coupe 2D,$2900,163000,"Arlington, TX",https://www.facebook.com/marketplace/item/3402209900101277/?ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3A186f9c11-f6a7-4818-b881-3137450004e6&__tn__=3D!%3AD
2001,Honda civic DX Sedan 4D,$1850,200000,"Dallas, TX",https://www.facebook.com/marketplace/item/1256606255208705/?ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3A186f9c11-f6a7-4818-b881-3137450004e6&__tn__=3D!%3AD
2001,Honda civic LX Sedan 4D,$2800,180000,"Dallas, TX",https://www.facebook.com/marketplace/item/675328317727065/?ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3A186f9c11-f6a7-4818-b881-3137450004e6&__tn__=3D!%3AD
2001,Honda civic EX Sedan 4D,$1300,245000,"Fort Worth, TX",https://www.facebook.com/marketplace/item/754096019370812/?ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3A186f9c11-f6a7-4818-b881-3137450004e6&__tn__=3D!%3AD
2002,Honda civic LX Sedan 4D,$2300,270000,"Irving, TX",https://www.facebook.com/marketplace/item/3424774901097866/?ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3A186f9c11-f6a7-4818-b881-3137450004e6&__tn__=3D!%3AD
2003,Honda civic,$3300,160000,"Fort Worth, TX",https://www.facebook.com/marketplace/item/1566516790537620/?ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3A186f9c11-f6a7-4818-b881-3137450004e6&__tn__=3D!%3AD
